# Undirected Node Graph 
# Autonomous systems (graph is undirected, each edge is saved twice)
# Nodes: 6474    Edges: 26467
# SrcNId	DstNId
9993	6793
9993	5897
9993	6794
9993	9294
9993	5418
8790	8114
8790	12095
5858	8582
5858	8542
33391	6592
33391	15188
33391	34061
33391	34452
33391	9594
33391	35308
33391	10172
33391	7778
33391	34020
33391	13263
33391	11532
33391	6908
12156	18230
12156	6445
12156	8930
12156	9005
12156	5301
12156	16751
12156	4169
12156	16454
12156	4496
12156	7561
12156	7404
12156	32380
12156	17549
12156	16561
12156	9383
12156	7251
12156	5299
12156	16560
12156	12278
12156	7764
12156	6592
12156	4568
12156	9594
12156	7778
12156	19162
12156	13263
12156	32787
12156	21363
12156	13223
9005	6445
9005	8930
9005	18230
9005	16751
9005	5301
9005	4169
9005	16454
9005	4496
9005	7561
9005	7404
9005	17549
9005	32380
9005	12278
9005	16561
9005	9383
9005	7251
9005	5299
9005	16560
9005	13223
9005	7764
5814	6788
5814	4249
5814	13047
5814	9163
6592	9594
6592	7778
6592	5299
6592	13263
6592	15188
6592	6445
6592	4568
6592	4496
6592	7561
6592	7404
6592	4169
6592	5179
6592	5565
6592	34061
6592	34452
6592	7251
6592	35308
6592	6590
6592	10172
6592	34020
6592	13505
6592	8930
6592	11532
6592	18230
6592	6908
6592	13223
6592	7764
4585	13255
4585	8258
4585	8216
15188	9594
15188	7778
15188	13263
15188	34061
15188	34452
15188	12095
15188	35308
15188	10172
15188	34020
15188	11532
15188	32411
15188	6908
15188	13223
17549	5301
17549	6445
17549	16751
17549	8930
17549	18230
17549	16454
17549	32380
17549	4496
17549	16561
17549	9383
17549	7561
17549	7404
17549	16560
17549	4169
17549	12278
17549	13223
17549	7764
4496	6445
4496	7404
4496	4169
4496	7764
4496	7561
4496	8930
4496	18230
4496	16751
4496	12278
4496	9383
4496	7251
4496	5299
4496	16561
4496	4568
4496	5301
4496	21209
4496	6590
4496	31569
4496	5179
4496	31568
4496	5565
4496	9594
4496	8302
4496	12139
4496	17173
4496	32630
4496	4016
4496	10560
4496	16560
4496	16454
4496	20030
4496	19162
4496	19758
4496	12533
4496	5424
4496	13505
4496	8811
4496	6533
4496	13263
4496	32787
4496	21363
4496	4362
4496	13223
5565	6590
5565	7251
5565	7764
5565	5299
5565	6445
5565	7404
5565	5179
5565	4568
5565	9383
5565	7561
5565	6793
5565	6794
5565	9594
5565	5897
5565	16463
5565	7778
16561	7764
16561	32787
16561	9383
16561	33884
16561	19162
16561	21363
16561	32630
16561	16560
16561	20030
16561	12533
16561	12278
16561	18230
16561	7561
16561	5301
16561	6445
16561	17173
16561	4016
16561	7404
16561	10560
16561	6590
16561	16751
16561	16454
16561	32380
16561	19758
16561	4169
16561	8930
16561	4362
16561	13223
5050	4975
5050	7047
5050	4575
5050	6901
5050	4902
4568	6445
4568	5299
4568	6590
4568	7251
4568	9594
4568	7404
4568	13505
4568	4169
4568	13263
4568	7764
4568	7561
4568	6793
4568	6794
4568	8930
4568	18230
4568	5179
20946	12139
20946	17016
20946	5698
20946	8198
20946	9424
20946	11532
20946	32411
20946	6908
20946	20226
9383	7764
9383	32787
9383	33884
9383	21363
9383	19162
9383	16560
9383	12278
9383	6445
9383	32630
9383	7404
9383	20030
9383	12533
9383	18230
9383	7561
9383	7251
9383	5299
9383	5301
9383	12139
9383	6590
9383	16751
9383	16454
9383	32380
9383	4169
9383	8930
9383	5179
9383	13223
13255	8258
13255	5424
13255	8216
34061	35308
34061	10172
34061	11532
34061	6908
34061	34452
34061	9594
34061	7778
34061	34020
34061	13263
7047	4975
7047	4575
7047	6901
7047	4902
34452	35308
34452	6908
34452	10172
34452	9594
34452	7778
34452	34020
34452	13263
34452	11532
7561	6445
7561	7404
7561	4169
7561	8930
7561	18230
7561	16751
7561	5301
7561	9594
7561	12278
7561	7251
7561	5299
7561	16560
7561	16454
7561	7778
7561	13263
7561	13223
7561	7764
7251	5299
7251	6590
7251	5179
7251	6445
7251	16463
7251	7404
7251	16454
7251	7778
7251	13505
7251	4169
7251	8930
7251	18230
7251	7764
7251	5301
7251	16751
5299	6445
5299	6590
5299	7778
5299	5179
5299	9594
5299	7404
5299	16454
5299	13505
5299	4169
5299	8930
5299	18230
5299	7764
5299	5301
5299	16751
6793	6794
6793	5897
6793	5418
6793	9294
6793	5424
6793	6590
6793	8811
6793	7764
6794	5418
6794	5897
6794	9294
6794	6590
6794	7764
5301	18230
5301	6445
5301	8930
5301	16751
5301	16454
5301	7404
5301	32380
5301	4169
5301	16560
5301	12278
5301	5179
5301	13223
5301	7764
6445	8930
6445	18230
6445	7404
6445	16751
6445	4169
6445	16454
6445	9594
6445	32380
6445	7764
6445	6590
6445	7778
6445	12278
6445	13263
6445	5179
6445	16560
6445	13505
6445	13223
4575	6901
4575	4902
4575	4975
4091	6978
9594	7778
9594	13263
9594	7404
9594	12095
9594	35308
9594	10172
9594	34020
9594	4169
9594	8930
9594	11532
9594	32411
9594	18230
9594	5179
9594	6908
9594	13223
5897	5418
5897	9294
5897	6590
5897	7764
21209	31569
21209	12278
21209	31568
21209	8302
21209	5424
21209	8811
21209	6533
8302	6533
8302	8811
8302	31569
8302	5424
8302	12278
8302	31568
6901	4902
6901	4975
12139	17016
12139	5698
12139	8198
12139	9424
12139	11532
12139	32411
12139	6908
12139	7764
12139	20226
17173	32630
17173	4016
17173	10560
17173	20030
17173	19162
17173	19758
17173	12533
17173	32787
17173	21363
17173	4362
17173	7764
4902	4975
6606	7404
6606	5179
32630	12533
32630	20030
32630	19162
32630	32787
32630	21363
32630	7764
32630	4016
32630	10560
32630	16560
32630	19758
32630	33884
32630	12278
32630	4362
12095	8114
12095	7778
4922	10147
17016	6908
17016	11532
17016	9424
17016	32411
17016	10172
17016	5698
17016	8198
17016	20226
4016	12533
4016	10560
4016	20030
4016	19162
4016	19758
4016	32787
4016	21363
4016	4362
4016	7764
7404	4169
7404	8930
7404	18230
7404	16751
7404	5179
7404	12278
7404	7764
7404	6590
7404	16560
7404	16454
7404	7778
7404	13263
7404	13223
35308	6908
35308	10172
35308	11532
35308	7778
35308	34020
35308	13263
10560	19758
10560	4362
10560	20030
10560	19162
10560	12533
10560	32787
10560	21363
10560	7764
6590	7764
6590	5179
6590	16463
6590	13505
6590	34452
6590	7778
6590	34020
6590	4169
6590	33884
6590	11532
6590	32787
6590	6908
16560	7764
16560	19162
16560	12278
16560	32787
16560	18230
16560	21363
16560	16751
16560	16454
16560	20030
16560	32380
16560	12533
16560	4169
16560	33884
16560	8930
16560	13223
16463	5179
10172	6908
10172	11532
10172	8198
10172	7778
10172	34020
10172	13263
5698	9424
5698	8198
5698	11532
5698	32411
5698	6908
5698	20226
16751	8930
16751	18230
16751	16454
16751	4169
16751	32380
16751	12278
16751	13223
16751	7764
8582	8542
16454	18230
16454	8930
16454	32380
16454	7778
16454	19162
16454	4169
16454	32787
16454	21363
16454	7764
8258	5424
8258	8216
