# Undirected Node Graph 
# Autonomous systems (graph is undirected, each edge is saved twice)
# Nodes: 6474    Edges: 26467
# SrcNId	DstNId
8790	10560
8790	12095
8790	8114
5858	8582
5858	8542
33391	10172
33391	6908
33391	17016
13224	12278
13224	7778
12156	6445
12156	16751
12156	5301
12156	9594
12156	16454
12156	7778
12156	6290
12156	8930
12156	18230
6592	7778
6592	5299
15188	9594
15188	7778
17549	5301
17549	6445
17549	8930
17549	18230
17549	7764
5565	6590
5565	5179
5565	7251
5565	9594
5565	7778
5565	8198
16561	7764
16561	12533
16561	33884
16561	9383
16561	20030
16561	32787
16561	16560
16561	19162
16561	32630
16561	21363
5050	7047
5050	6901
5050	4975
20946	5698
20946	9424
9383	7764
9383	16560
9383	19162
9383	31569
9383	31568
9383	32787
9383	12533
9383	12139
9383	33884
9383	12278
9383	21363
7047	4975
7047	6901
34452	11532
34452	32411
34452	6908
7561	6445
7251	6590
7251	5299
7251	16463
7251	5179
7251	9594
7251	7778
7251	7764
7251	12139
5299	6590
5299	7778
5299	9594
5299	6445
5299	5179
6793	5897
6793	6794
6793	9294
6793	5418
6794	5418
6794	9294
5301	18230
5301	6445
5301	8930
5301	16751
5301	16454
5301	6606
5301	32380
5301	7764
6445	16751
6445	8930
6445	18230
6445	16454
6445	8258
6445	32380
6445	13263
6445	9594
6445	7778
6445	6290
6445	5179
6445	31568
7285	8542
9594	7778
9594	6590
9594	13263
9594	5179
9594	16463
9594	6290
9594	16560
9594	16751
9594	8258
9594	13223
9594	7764
21209	31569
21209	12278
21209	5424
8302	6533
8302	8811
6901	4975
12139	7764
12139	16560
12139	7778
12139	31569
12139	6908
12139	20226
17173	10560
32630	12533
32630	20030
32630	7764
32630	21363
12095	8114
17016	6908
17016	10172
17016	9424
10560	19758
6590	7778
6590	5179
6590	16463
6590	7764
6590	8198
16560	7764
16560	19162
16560	32787
16560	12533
16560	33884
16560	21363
16560	7778
16560	31568
16463	7778
16463	5179
10172	6908
10172	8198
5698	9424
16751	16454
16751	8930
16751	18230
16751	32380
16751	7778
16751	6290
8582	8542
16454	8930
16454	32380
16454	18230
8258	5424
8258	7778
8258	6290
8258	12278
8258	5179
8258	8216
20030	12533
20030	7764
20030	21363
9294	5418
7778	5179
7778	6290
7778	13263
7778	13223
31569	31568
31569	12278
31569	7764
31569	5424
19162	7764
19162	32787
19162	21363
19162	33884
8198	5179
6788	9163
6788	13047
32380	8930
32380	18230
13047	9163
12533	7764
12533	21363
5424	8811
5424	12278
8811	6533
33884	7764
33884	32787
33884	21363
6290	5179
6290	13263
6290	6908
6290	7764
12278	31568
8930	18230
8930	13263
13263	5179
11532	6908
11532	32411
12113	10147
32411	6908
32787	7764
32787	21363
21363	7764
5179	7764
6908	20226
13223	31568
